subject	predicate	object	context
23f716b1-904f-4dca-adb3-10aff7476d72	v:pt	Hoard Documentation	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	0c2c291d-1aa7-4235-a139-7ff7cda22dfd	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	2f134d16-9e88-4201-9c87-09e66581be24	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	4d474c7e-106c-4655-bc84-55173461922f	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	4ddaa6c6-5081-4c6d-be24-da8e51ca2faa	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	8e104597-5e7a-424b-a19c-cad8fede5e54	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	a98b25e2-32b4-4aac-b567-15e0dfe5c4be	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	af0a4bf8-b058-42ed-82fa-f72627e75403	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-member	f3e81d04-76b0-4e00-833c-8f64baaa9de6	24f356a99e7b8354d9edc3e3f6f012532c88f53b
23f716b1-904f-4dca-adb3-10aff7476d72	v:h-expr	whole	24f356a99e7b8354d9edc3e3f6f012532c88f53b
8e104597-5e7a-424b-a19c-cad8fede5e54	v:h-order	1	23f716b1-904f-4dca-adb3-10aff7476d72
4d474c7e-106c-4655-bc84-55173461922f	v:h-order	2	23f716b1-904f-4dca-adb3-10aff7476d72
f3e81d04-76b0-4e00-833c-8f64baaa9de6	v:h-order	3	23f716b1-904f-4dca-adb3-10aff7476d72
4ddaa6c6-5081-4c6d-be24-da8e51ca2faa	v:h-order	4	23f716b1-904f-4dca-adb3-10aff7476d72
af0a4bf8-b058-42ed-82fa-f72627e75403	v:h-order	5	23f716b1-904f-4dca-adb3-10aff7476d72
2f134d16-9e88-4201-9c87-09e66581be24	v:h-order	6	23f716b1-904f-4dca-adb3-10aff7476d72
0c2c291d-1aa7-4235-a139-7ff7cda22dfd	v:h-order	7	23f716b1-904f-4dca-adb3-10aff7476d72
a98b25e2-32b4-4aac-b567-15e0dfe5c4be	v:h-order	8	23f716b1-904f-4dca-adb3-10aff7476d72
