subject	predicate	object	context
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:pt	The Propagation Wave	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	123657f2-0c94-4578-b515-2459ce2d2c66	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	2c075636-a78a-42dc-a6ac-f19978223aaf	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	4d8cc130-7069-4526-882b-f314656ad711	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	4ed62502-2af7-48a8-b1fa-5cb35ce43c35	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	6285b124-fd9c-459a-9463-cb5ef2e795ec	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	658492ef-c155-456c-bf40-b6d694bd8649	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	782fd032-a0b2-476b-ab05-ea12447b8648	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	84bcf8b7-6125-4338-b448-81bc3cdb2674	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	8916306c-5584-4f3c-bfae-eacd7aafe5f7	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	ae235952-0cea-4cba-84ec-5b99dab445e4	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	c0aaed4b-4a38-4792-b03f-cab6bb2903c9	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	d1dfcf8f-f588-4b35-ae0f-fe7ec3c4ee7b	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	e6c82fd0-6c46-4b4f-9712-e2df9fd2986c	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-member	f9bf29a6-b7b7-4cf0-b059-8c1877e38d78	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-primary	f9bf29a6-b7b7-4cf0-b059-8c1877e38d78	6f2f6e2c520daffa3ec51768770efcbea2f738ca
28a41aae-53c0-44ff-aa1e-3517efb4d914	v:h-expr	whole	6f2f6e2c520daffa3ec51768770efcbea2f738ca
2c075636-a78a-42dc-a6ac-f19978223aaf	v:h-order	1	28a41aae-53c0-44ff-aa1e-3517efb4d914
4d8cc130-7069-4526-882b-f314656ad711	v:h-order	2	28a41aae-53c0-44ff-aa1e-3517efb4d914
6285b124-fd9c-459a-9463-cb5ef2e795ec	v:h-order	3	28a41aae-53c0-44ff-aa1e-3517efb4d914
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:h-order	4	28a41aae-53c0-44ff-aa1e-3517efb4d914
123657f2-0c94-4578-b515-2459ce2d2c66	v:h-order	5	28a41aae-53c0-44ff-aa1e-3517efb4d914
e6c82fd0-6c46-4b4f-9712-e2df9fd2986c	v:h-order	6	28a41aae-53c0-44ff-aa1e-3517efb4d914
8916306c-5584-4f3c-bfae-eacd7aafe5f7	v:h-order	7	28a41aae-53c0-44ff-aa1e-3517efb4d914
f9bf29a6-b7b7-4cf0-b059-8c1877e38d78	v:h-order	8	28a41aae-53c0-44ff-aa1e-3517efb4d914
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:h-order	9	28a41aae-53c0-44ff-aa1e-3517efb4d914
658492ef-c155-456c-bf40-b6d694bd8649	v:h-order	10	28a41aae-53c0-44ff-aa1e-3517efb4d914
ae235952-0cea-4cba-84ec-5b99dab445e4	v:h-order	11	28a41aae-53c0-44ff-aa1e-3517efb4d914
d1dfcf8f-f588-4b35-ae0f-fe7ec3c4ee7b	v:h-order	12	28a41aae-53c0-44ff-aa1e-3517efb4d914
782fd032-a0b2-476b-ab05-ea12447b8648	v:h-order	13	28a41aae-53c0-44ff-aa1e-3517efb4d914
c0aaed4b-4a38-4792-b03f-cab6bb2903c9	v:h-order	14	28a41aae-53c0-44ff-aa1e-3517efb4d914
