subject	predicate	object	context
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:pt	Scaffolds	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	065ddf9c-bb58-4700-ba9a-4930170baa5e	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	5284e00c-e05a-447d-a7b0-ac40f2a2bae4	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	9e068c70-b83b-4214-ae6b-b8bf83c4fd35	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	a567f78e-75ff-4f6b-acd8-1711b8c45114	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	c067fc03-5526-468b-8923-e116c2807fb4	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	e4c4b3a1-beb9-42e3-9853-185e4a4b017f	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	f6501149-38e3-4e60-80b7-914a5f830a02	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	fb0619c2-753d-49bc-9b4f-5638e6686a61	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	fc5d4463-f480-4502-b8a8-203ddbd4d447	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	fd52cafd-8cc2-4ad5-8106-67b7e9bfb854	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-member	fe7952c7-6a2d-4d2e-945a-9c802d1c60ca	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
3364c0b0-9dd4-450d-911b-c4418f4e2353	v:h-expr	whole	4a22501d41eec44cd79488f9fe8d8b8cc41485a2
e4c4b3a1-beb9-42e3-9853-185e4a4b017f	v:h-order	1	3364c0b0-9dd4-450d-911b-c4418f4e2353
fe7952c7-6a2d-4d2e-945a-9c802d1c60ca	v:h-order	2	3364c0b0-9dd4-450d-911b-c4418f4e2353
5284e00c-e05a-447d-a7b0-ac40f2a2bae4	v:h-order	3	3364c0b0-9dd4-450d-911b-c4418f4e2353
065ddf9c-bb58-4700-ba9a-4930170baa5e	v:h-order	4	3364c0b0-9dd4-450d-911b-c4418f4e2353
fd52cafd-8cc2-4ad5-8106-67b7e9bfb854	v:h-order	5	3364c0b0-9dd4-450d-911b-c4418f4e2353
f6501149-38e3-4e60-80b7-914a5f830a02	v:h-order	6	3364c0b0-9dd4-450d-911b-c4418f4e2353
c067fc03-5526-468b-8923-e116c2807fb4	v:h-order	7	3364c0b0-9dd4-450d-911b-c4418f4e2353
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:h-order	8	3364c0b0-9dd4-450d-911b-c4418f4e2353
9e068c70-b83b-4214-ae6b-b8bf83c4fd35	v:h-order	9	3364c0b0-9dd4-450d-911b-c4418f4e2353
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:h-order	10	3364c0b0-9dd4-450d-911b-c4418f4e2353
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:h-order	11	3364c0b0-9dd4-450d-911b-c4418f4e2353
