subject	predicate	object	context
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:pt	The Collapse of Determinism	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	02b39257-f348-43cd-a45c-97beba763b18	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	096cf6e7-e3cb-42a8-9c2d-c58574b7e8e7	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	0ec8d6b5-54c1-454c-8505-44993a92ef9b	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	18825dcb-e127-4231-93fc-b6a9e1a1c6c5	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	1c20591e-b63d-4541-a091-050cd890940a	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	2653e0c2-e5d4-4054-a4dd-8a50787981c4	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	2cfb68da-c55c-4fe4-aa2a-4ffe08f3b42b	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	3b2d0751-be40-4d96-8fa6-98c919882d42	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	46bb86d7-8321-4e2e-8e37-175b2260dad6	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	5284e00c-e05a-447d-a7b0-ac40f2a2bae4	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	6e028ce1-8180-466e-9a9b-e01e55a70b7b	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	782fd032-a0b2-476b-ab05-ea12447b8648	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	8916306c-5584-4f3c-bfae-eacd7aafe5f7	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	a0bbb313-2e78-4ec9-aa3b-e8c151675b66	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	a89c0b70-0ee6-4cf7-8546-29bcb270ac65	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	ae235952-0cea-4cba-84ec-5b99dab445e4	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	ba575aef-3447-44ac-919d-618f99b0320b	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	f1dd3c7d-50f3-48bc-ab56-bb26c85858eb	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-member	f8e44880-0eda-4d23-99f3-6f379b24048e	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-primary	ba575aef-3447-44ac-919d-618f99b0320b	a1c996855b631ec843db32594941137c849ee3c1
5f3a49e3-0550-4f45-a58f-8efd387e1825	v:h-expr	whole	a1c996855b631ec843db32594941137c849ee3c1
18825dcb-e127-4231-93fc-b6a9e1a1c6c5	v:h-order	1	5f3a49e3-0550-4f45-a58f-8efd387e1825
02b39257-f348-43cd-a45c-97beba763b18	v:h-order	2	5f3a49e3-0550-4f45-a58f-8efd387e1825
1c20591e-b63d-4541-a091-050cd890940a	v:h-order	3	5f3a49e3-0550-4f45-a58f-8efd387e1825
5284e00c-e05a-447d-a7b0-ac40f2a2bae4	v:h-order	4	5f3a49e3-0550-4f45-a58f-8efd387e1825
a89c0b70-0ee6-4cf7-8546-29bcb270ac65	v:h-order	5	5f3a49e3-0550-4f45-a58f-8efd387e1825
2cfb68da-c55c-4fe4-aa2a-4ffe08f3b42b	v:h-order	6	5f3a49e3-0550-4f45-a58f-8efd387e1825
f1dd3c7d-50f3-48bc-ab56-bb26c85858eb	v:h-order	7	5f3a49e3-0550-4f45-a58f-8efd387e1825
46bb86d7-8321-4e2e-8e37-175b2260dad6	v:h-order	8	5f3a49e3-0550-4f45-a58f-8efd387e1825
a0bbb313-2e78-4ec9-aa3b-e8c151675b66	v:h-order	9	5f3a49e3-0550-4f45-a58f-8efd387e1825
ba575aef-3447-44ac-919d-618f99b0320b	v:h-order	10	5f3a49e3-0550-4f45-a58f-8efd387e1825
8916306c-5584-4f3c-bfae-eacd7aafe5f7	v:h-order	11	5f3a49e3-0550-4f45-a58f-8efd387e1825
6e028ce1-8180-466e-9a9b-e01e55a70b7b	v:h-order	12	5f3a49e3-0550-4f45-a58f-8efd387e1825
ae235952-0cea-4cba-84ec-5b99dab445e4	v:h-order	13	5f3a49e3-0550-4f45-a58f-8efd387e1825
