subject	predicate	object	context
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	0218f7c9-cc71-482e-932d-86894c18c75f	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	07e85f22-d177-4cf9-ad2b-f9b826a2063b	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	108aa028-34fb-4a51-89fd-c594ca4cdfcd	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	13ed7cbf-1bde-45f2-b50e-cc69e9822337	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	2653e0c2-e5d4-4054-a4dd-8a50787981c4	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	652d3e40-6ea7-453b-95c3-7019d109a6e9	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	663b02c0-b30f-442a-ae75-6bcc4f76bace	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	687da8ff-3380-4fb7-9a50-cf62a2935c64	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	6b3f5069-6be0-466b-b977-daf1fe07c535	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	6e8c09d4-c405-426e-b955-5f47e9b9ee63	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	710be800-e812-4385-9f1f-7aad71eb7070	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	7bf2101d-3405-4d60-91c4-72223cadad4c	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	860baf5e-301b-4ac7-823f-829a29349f5c	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	86427838-f9d2-4594-a0bb-e070d61f4a3c	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	96da3a47-001b-426a-bead-ab9ca63c318e	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	9aec423b-6ece-4380-8597-dcc9ba55b1da	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	a2ac2ffc-4838-4dbf-9b7a-32644d9be608	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	a39781c8-d3fc-430d-a0a7-da672de1c541	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	a4c8ff17-19e1-49c4-a230-33a46241d27b	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	b1ec37dd-fd5e-49a2-98b0-c482c422ea43	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	b5b64601-f044-4019-9b3f-d41aec4b6b70	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	bea61caf-0587-4a24-9606-19f3d11d2993	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	c5850a3c-baf4-4895-abdc-e18483258d76	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	cff7110e-8bd8-40e4-a62b-68c7306f2f4f	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	d700b961-d092-43a8-a84a-c168a526e97e	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	dae7f7a5-0afb-45a6-9424-adbd7536268e	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	e806fcd4-132a-4812-a379-e63a59635eaf	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	efec9602-c196-4366-9c77-c4edc1b15031	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	f20f793f-6f6d-43f7-9121-a2048e7d6ae1	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	f9802697-69e8-4561-a93f-d032d515f35d	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-member	fbacc278-7de5-46a7-b28a-ed54dddf46ab	aefd1d9e81fac8d2f89ede6818e11ac28257210c
898bcd89-016b-469f-9aa8-fe1bbf74fe5a	v:h-expr	solvay-1927	aefd1d9e81fac8d2f89ede6818e11ac28257210c
e806fcd4-132a-4812-a379-e63a59635eaf	v:h-order	1	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
b5b64601-f044-4019-9b3f-d41aec4b6b70	v:h-order	2	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:h-order	3	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
860baf5e-301b-4ac7-823f-829a29349f5c	v:h-order	4	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
d700b961-d092-43a8-a84a-c168a526e97e	v:h-order	5	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
687da8ff-3380-4fb7-9a50-cf62a2935c64	v:h-order	6	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
6b3f5069-6be0-466b-b977-daf1fe07c535	v:h-order	7	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
0218f7c9-cc71-482e-932d-86894c18c75f	v:h-order	8	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:h-order	9	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:h-order	10	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
bea61caf-0587-4a24-9606-19f3d11d2993	v:h-order	11	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
9aec423b-6ece-4380-8597-dcc9ba55b1da	v:h-order	12	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
cff7110e-8bd8-40e4-a62b-68c7306f2f4f	v:h-order	13	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:h-order	14	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
7bf2101d-3405-4d60-91c4-72223cadad4c	v:h-order	15	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
652d3e40-6ea7-453b-95c3-7019d109a6e9	v:h-order	16	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
710be800-e812-4385-9f1f-7aad71eb7070	v:h-order	17	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
a4c8ff17-19e1-49c4-a230-33a46241d27b	v:h-order	18	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
07e85f22-d177-4cf9-ad2b-f9b826a2063b	v:h-order	19	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
108aa028-34fb-4a51-89fd-c594ca4cdfcd	v:h-order	20	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
a2ac2ffc-4838-4dbf-9b7a-32644d9be608	v:h-order	21	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
c5850a3c-baf4-4895-abdc-e18483258d76	v:h-order	22	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
a39781c8-d3fc-430d-a0a7-da672de1c541	v:h-order	23	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
6e8c09d4-c405-426e-b955-5f47e9b9ee63	v:h-order	24	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
dae7f7a5-0afb-45a6-9424-adbd7536268e	v:h-order	25	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
b1ec37dd-fd5e-49a2-98b0-c482c422ea43	v:h-order	26	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
86427838-f9d2-4594-a0bb-e070d61f4a3c	v:h-order	27	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
2653e0c2-e5d4-4054-a4dd-8a50787981c4	v:h-order	28	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
f20f793f-6f6d-43f7-9121-a2048e7d6ae1	v:h-order	29	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
f9802697-69e8-4561-a93f-d032d515f35d	v:h-order	30	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
96da3a47-001b-426a-bead-ab9ca63c318e	v:h-order	31	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
efec9602-c196-4366-9c77-c4edc1b15031	v:h-order	32	898bcd89-016b-469f-9aa8-fe1bbf74fe5a
