subject	predicate	object	context
efec9602-c196-4366-9c77-c4edc1b15031	v:pt	Solvay Conference 1927 Photograph	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	9aec423b-6ece-4380-8597-dcc9ba55b1da	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	07e85f22-d177-4cf9-ad2b-f9b826a2063b	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	652d3e40-6ea7-453b-95c3-7019d109a6e9	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	bea61caf-0587-4a24-9606-19f3d11d2993	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	b5b64601-f044-4019-9b3f-d41aec4b6b70	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	6e8c09d4-c405-426e-b955-5f47e9b9ee63	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	687da8ff-3380-4fb7-9a50-cf62a2935c64	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	d700b961-d092-43a8-a84a-c168a526e97e	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	a2ac2ffc-4838-4dbf-9b7a-32644d9be608	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	dae7f7a5-0afb-45a6-9424-adbd7536268e	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	710be800-e812-4385-9f1f-7aad71eb7070	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	f20f793f-6f6d-43f7-9121-a2048e7d6ae1	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	13ed7cbf-1bde-45f2-b50e-cc69e9822337	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	c5850a3c-baf4-4895-abdc-e18483258d76	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	fbacc278-7de5-46a7-b28a-ed54dddf46ab	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	7bf2101d-3405-4d60-91c4-72223cadad4c	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	a4c8ff17-19e1-49c4-a230-33a46241d27b	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	108aa028-34fb-4a51-89fd-c594ca4cdfcd	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	860baf5e-301b-4ac7-823f-829a29349f5c	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	0218f7c9-cc71-482e-932d-86894c18c75f	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	a39781c8-d3fc-430d-a0a7-da672de1c541	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	6b3f5069-6be0-466b-b977-daf1fe07c535	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	86427838-f9d2-4594-a0bb-e070d61f4a3c	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	cff7110e-8bd8-40e4-a62b-68c7306f2f4f	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	f9802697-69e8-4561-a93f-d032d515f35d	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	2653e0c2-e5d4-4054-a4dd-8a50787981c4	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	b1ec37dd-fd5e-49a2-98b0-c482c422ea43	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:rt	663b02c0-b30f-442a-ae75-6bcc4f76bace	c8f7ff34642d8f5e2124c044716afc0596fe5398
efec9602-c196-4366-9c77-c4edc1b15031	v:tag	solvay-1927	c8f7ff34642d8f5e2124c044716afc0596fe5398
