subject	predicate	object	context
9916ba93-6978-4406-b96f-1d1a476c1931	v:type	wh:con	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:title	Lean Manufacturing—4	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:tt	852a6e49-4b9c-429e-b612-6c505ab78827	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:pt	Lean Manufacturing—4	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:rt	32f8e2e5-ca35-4038-8261-1c873c95e7f7	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:rt	09090797-d1c4-44e7-a18d-45f253b53d97	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:rt	b65136a2-13b9-4296-920f-4058f1dd90ae	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:rt	69b7de54-38c7-4733-8241-b73804aaafa6	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:uf	Toyota Production System—4	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:uf	The Toyota Way	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:uf	JIT	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
9916ba93-6978-4406-b96f-1d1a476c1931	v:uf	Just-In-Time Manufacturing	bdf4c9a8e9a5e541dc769674b15b75ed097efb7e
