subject	predicate	object	context
c348132e-7cdf-438d-9a1f-69d75f382bee	v:type	wh:con	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:title	Toyota Production System—4	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:tt	852a6e49-4b9c-429e-b612-6c505ab78827	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:bt	9916ba93-6978-4406-b96f-1d1a476c1931	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:nt	d4e5f6a7-1001-4000-8000-000000000011	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:nt	d4e5f6a7-1002-4000-8000-000000000012	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:nt	d4e5f6a7-1003-4000-8000-000000000013	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:nt	d4e5f6a7-1004-4000-8000-000000000014	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:nt	d4e5f6a7-1005-4000-8000-000000000015	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:rt	d4e5f6a7-1006-4000-8000-000000000016	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:rt	d4e5f6a7-1007-4000-8000-000000000017	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:rt	d4e5f6a7-1008-4000-8000-000000000018	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:rt	d4e5f6a7-1009-4000-8000-000000000019	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:uf	TPS	63539e96dfb9b23b5551303a6186196fe19485d0
c348132e-7cdf-438d-9a1f-69d75f382bee	v:pt	Toyota Production System—4	63539e96dfb9b23b5551303a6186196fe19485d0
