subject	predicate	object	context
d4e5f6a7-1008-4000-8000-000000000018	v:type	wh:con	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:title	Heijunka—4	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:tt	852a6e49-4b9c-429e-b612-6c505ab78827	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:bt	c348132e-7cdf-438d-9a1f-69d75f382bee	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:rt	d4e5f6a7-1003-4000-8000-000000000013	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:rt	d4e5f6a7-1001-4000-8000-000000000011	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:uf	平準化	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:uf	Production leveling	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:uf	Production smoothing	ae2ea376f2073ecca55d3e796852c44c6a84f934
d4e5f6a7-1008-4000-8000-000000000018	v:pt	Heijunka—4	ae2ea376f2073ecca55d3e796852c44c6a84f934
